,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
30321,2012,London,Gymnastics,Gymnastics Artistic,Marcel Nguyen,GER,Men,Parallel Bars,Silver,Germany,
30322,2012,London,Gymnastics,Gymnastics Artistic,Hamilton Sabot,FRA,Men,Parallel Bars,Bronze,France,
30323,2012,London,Gymnastics,Gymnastics Artistic,Krisztian Berki,HUN,Men,Pommel Horse,Gold,Hungary,
30324,2012,London,Gymnastics,Gymnastics Artistic,Louis Smith,GBR,Men,Pommel Horse,Silver,United Kingdom,
30325,2012,London,Gymnastics,Gymnastics Artistic,Max Whitlock,GBR,Men,Pommel Horse,Bronze,United Kingdom,
30326,2012,London,Gymnastics,Gymnastics Artistic,Arthur Nabarrete Zanetti,BRA,Men,Rings,Gold,Brazil,
30327,2012,London,Gymnastics,Gymnastics Artistic,Yibing Chen,CHN,Men,Rings,Silver,China,
30328,2012,London,Gymnastics,Gymnastics Artistic,Matteo Morandi,ITA,Men,Rings,Bronze,Italy,
30329,2012,London,Gymnastics,Gymnastics Artistic,Yibing Chen,CHN,Men,Team Competition,Gold,China,
30330,2012,London,Gymnastics,Gymnastics Artistic,Zhe Feng,CHN,Men,Team Competition,Gold,China,
30331,2012,London,Gymnastics,Gymnastics Artistic,Weiyang Guo,CHN,Men,Team Competition,Gold,China,
30332,2012,London,Gymnastics,Gymnastics Artistic,Chenglong Zhang,CHN,Men,Team Competition,Gold,China,
30333,2012,London,Gymnastics,Gymnastics Artistic,Kai Zou,CHN,Men,Team Competition,Gold,China,
30334,2012,London,Gymnastics,Gymnastics Artistic,Ryohei Kato,JPN,Men,Team Competition,Silver,Japan,
30335,2012,London,Gymnastics,Gymnastics Artistic,Kazuhito Tanaka,JPN,Men,Team Competition,Silver,Japan,
30336,2012,London,Gymnastics,Gymnastics Artistic,Yusuke Tanaka,JPN,Men,Team Competition,Silver,Japan,
30337,2012,London,Gymnastics,Gymnastics Artistic,Kohei Uchimura,JPN,Men,Team Competition,Silver,Japan,
30338,2012,London,Gymnastics,Gymnastics Artistic,Koji Yamamuro,JPN,Men,Team Competition,Silver,Japan,
30339,2012,London,Gymnastics,Gymnastics Artistic,Sam Oldham,GBR,Men,Team Competition,Bronze,United Kingdom,
30340,2012,London,Gymnastics,Gymnastics Artistic,Daniel Purvis,GBR,Men,Team Competition,Bronze,United Kingdom,
30341,2012,London,Gymnastics,Gymnastics Artistic,Louis Smith,GBR,Men,Team Competition,Bronze,United Kingdom,
30342,2012,London,Gymnastics,Gymnastics Artistic,Kristian Thomas,GBR,Men,Team Competition,Bronze,United Kingdom,
30343,2012,London,Gymnastics,Gymnastics Artistic,Max Whitlock,GBR,Men,Team Competition,Bronze,United Kingdom,
30344,2012,London,Gymnastics,Gymnastics Artistic,Gabrielle Douglas,USA,Women,Team Competition,Gold,United States,
30345,2012,London,Gymnastics,Gymnastics Artistic,Mc Kayla Maroney,USA,Women,Team Competition,Gold,United States,
30346,2012,London,Gymnastics,Gymnastics Artistic,Alexandra Raisman,USA,Women,Team Competition,Gold,United States,
30347,2012,London,Gymnastics,Gymnastics Artistic,Kyla Ross,USA,Women,Team Competition,Gold,United States,
30348,2012,London,Gymnastics,Gymnastics Artistic,Jordyn Wieber,USA,Women,Team Competition,Gold,United States,
30349,2012,London,Gymnastics,Gymnastics Artistic,Ksenia Afanasyeva,RUS,Women,Team Competition,Silver,Russia,
30350,2012,London,Gymnastics,Gymnastics Artistic,Anastasia Grishina,RUS,Women,Team Competition,Silver,Russia,
30351,2012,London,Gymnastics,Gymnastics Artistic,Victoria Komova,RUS,Women,Team Competition,Silver,Russia,
30352,2012,London,Gymnastics,Gymnastics Artistic,Aliya Mustafina,RUS,Women,Team Competition,Silver,Russia,
30353,2012,London,Gymnastics,Gymnastics Artistic,Maria Paseka,RUS,Women,Team Competition,Silver,Russia,
30354,2012,London,Gymnastics,Gymnastics Artistic,Diana Laura Bulimar,ROM,Women,Team Competition,Bronze,Romania,
30355,2012,London,Gymnastics,Gymnastics Artistic,Diana Maria Chelaru,ROM,Women,Team Competition,Bronze,Romania,
30356,2012,London,Gymnastics,Gymnastics Artistic,Larisa Andreea Iordache,ROM,Women,Team Competition,Bronze,Romania,
30357,2012,London,Gymnastics,Gymnastics Artistic,Sandra Raluca Izbasa,ROM,Women,Team Competition,Bronze,Romania,
30358,2012,London,Gymnastics,Gymnastics Artistic,Catalina Ponor,ROM,Women,Team Competition,Bronze,Romania,
30359,2012,London,Gymnastics,Gymnastics Artistic,Aliya Mustafina,RUS,Women,Uneven Bars,Gold,Russia,
30360,2012,London,Gymnastics,Gymnastics Artistic,Kexin He,CHN,Women,Uneven Bars,Silver,China,
30361,2012,London,Gymnastics,Gymnastics Artistic,Elizabeth Tweddle,GBR,Women,Uneven Bars,Bronze,United Kingdom,
30362,2012,London,Gymnastics,Gymnastics Artistic,Hak Seon Yang,KOR,Men,Vault,Gold,"Korea, South",
30363,2012,London,Gymnastics,Gymnastics Artistic,Denis Ablyazin,RUS,Men,Vault,Silver,Russia,
30364,2012,London,Gymnastics,Gymnastics Artistic,Igor Radivilov,UKR,Men,Vault,Bronze,Ukraine,
30365,2012,London,Gymnastics,Gymnastics Artistic,Sandra Raluca Izbasa,ROM,Women,Vault,Gold,Romania,
30366,2012,London,Gymnastics,Gymnastics Artistic,Mc Kayla Maroney,USA,Women,Vault,Silver,United States,
30367,2012,London,Gymnastics,Gymnastics Artistic,Maria Paseka,RUS,Women,Vault,Bronze,Russia,
30368,2012,London,Gymnastics,Gymnastics Rhythmic,Anastasia Bliznyuk,RUS,Women,Group Competition,Gold,Russia,
30369,2012,London,Gymnastics,Gymnastics Rhythmic,Uliana Donskova,RUS,Women,Group Competition,Gold,Russia,
30370,2012,London,Gymnastics,Gymnastics Rhythmic,Ksenia Dudkina,RUS,Women,Group Competition,Gold,Russia,
30371,2012,London,Gymnastics,Gymnastics Rhythmic,Alina Makarenko,RUS,Women,Group Competition,Gold,Russia,
30372,2012,London,Gymnastics,Gymnastics Rhythmic,Anastasia Nazarenko,RUS,Women,Group Competition,Gold,Russia,
30373,2012,London,Gymnastics,Gymnastics Rhythmic,Karolina Sevastyanova,RUS,Women,Group Competition,Gold,Russia,
30374,2012,London,Gymnastics,Gymnastics Rhythmic,Maryna Hancharova,BLR,Women,Group Competition,Silver,Belarus,
30375,2012,London,Gymnastics,Gymnastics Rhythmic,Anastasia Ivankova,BLR,Women,Group Competition,Silver,Belarus,
30376,2012,London,Gymnastics,Gymnastics Rhythmic,Nataliya Leshchyk,BLR,Women,Group Competition,Silver,Belarus,
