,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
162,1900,Paris,Aquatics,Swimming,Otto Wahle,AUT,Men,200M Obstacle Event,Silver,Austria
163,1900,Paris,Aquatics,Swimming,Houben,FRA,Men,200M Team Swimming,Bronze,France
164,1900,Paris,Aquatics,Swimming,Jean Leuillieux,FRA,Men,200M Team Swimming,Bronze,France
165,1900,Paris,Aquatics,Swimming,Louis Martin,FRA,Men,200M Team Swimming,Bronze,France
166,1900,Paris,Aquatics,Swimming,D̩sir̩ Merchez,FRA,Men,200M Team Swimming,Bronze,France
167,1900,Paris,Aquatics,Swimming,Tartara,FRA,Men,200M Team Swimming,Bronze,France
168,1900,Paris,Aquatics,Swimming,Julius Frey,GER,Men,200M Team Swimming,Gold,Germany
169,1900,Paris,Aquatics,Swimming,Max Hainle,GER,Men,200M Team Swimming,Gold,Germany
170,1900,Paris,Aquatics,Swimming,Ernst Hoppenberg,GER,Men,200M Team Swimming,Gold,Germany
171,1900,Paris,Aquatics,Swimming,Max Sch̦ne,GER,Men,200M Team Swimming,Gold,Germany
172,1900,Paris,Aquatics,Swimming,Herbert Von Petersdorff,GER,Men,200M Team Swimming,Gold,Germany
173,1900,Paris,Aquatics,Swimming,Bertrand,FRA,Men,200M Team Swimming,Silver,France
174,1900,Paris,Aquatics,Swimming,Cadet,FRA,Men,200M Team Swimming,Silver,France
175,1900,Paris,Aquatics,Swimming,Maurice Hochepied,FRA,Men,200M Team Swimming,Silver,France
176,1900,Paris,Aquatics,Swimming,Victor Hochepied,FRA,Men,200M Team Swimming,Silver,France
177,1900,Paris,Aquatics,Swimming,Verbecke,FRA,Men,200M Team Swimming,Silver,France
178,1900,Paris,Aquatics,Swimming,Louis Martin,FRA,Men,4000M Freestyle,Bronze,France
179,1900,Paris,Aquatics,Swimming,John Arthur Jarvis,GBR,Men,4000M Freestyle,Gold,United Kingdom
180,1900,Paris,Aquatics,Swimming,Zoltan Halmay,HUN,Men,4000M Freestyle,Silver,Hungary
181,1900,Paris,Aquatics,Swimming,Peder Lykkeberg,DEN,Men,Underwater Swimming,Bronze,Denmark
182,1900,Paris,Aquatics,Swimming,Charles De Vendeville,FRA,Men,Underwater Swimming,Gold,France
183,1900,Paris,Aquatics,Swimming,Andr̩ Six,FRA,Men,Underwater Swimming,Silver,France
184,1900,Paris,Aquatics,Water polo,Thomas Burgess,FRA,Men,Water Polo,Bronze,France
185,1900,Paris,Aquatics,Water polo,Coulon,FRA,Men,Water Polo,Bronze,France
186,1900,Paris,Aquatics,Water polo,Alphonse Decuyper,FRA,Men,Water Polo,Bronze,France
187,1900,Paris,Aquatics,Water polo,Devenot,FRA,Men,Water Polo,Bronze,France
188,1900,Paris,Aquatics,Water polo,Fardelle,FRA,Men,Water Polo,Bronze,France
189,1900,Paris,Aquatics,Water polo,Favier,FRA,Men,Water Polo,Bronze,France
190,1900,Paris,Aquatics,Water polo,Louis Laufray,FRA,Men,Water Polo,Bronze,France
191,1900,Paris,Aquatics,Water polo,Leriche,FRA,Men,Water Polo,Bronze,France
192,1900,Paris,Aquatics,Water polo,Louis Martin,FRA,Men,Water Polo,Bronze,France
193,1900,Paris,Aquatics,Water polo,D̩sir̩ Merchez,FRA,Men,Water Polo,Bronze,France
194,1900,Paris,Aquatics,Water polo,Henri Peslier,FRA,Men,Water Polo,Bronze,France
195,1900,Paris,Aquatics,Water polo,Pesloy,FRA,Men,Water Polo,Bronze,France
196,1900,Paris,Aquatics,Water polo,Charles Treffel,FRA,Men,Water Polo,Bronze,France
197,1900,Paris,Aquatics,Water polo,Paul Vasseur,FRA,Men,Water Polo,Bronze,France
198,1900,Paris,Aquatics,Water polo,Thomas Coe,GBR,Men,Water Polo,Gold,United Kingdom
199,1900,Paris,Aquatics,Water polo,John Henry Derbyshire,GBR,Men,Water Polo,Gold,United Kingdom
200,1900,Paris,Aquatics,Water polo,Peter Kemp,GBR,Men,Water Polo,Gold,United Kingdom
201,1900,Paris,Aquatics,Water polo,William Lister,GBR,Men,Water Polo,Gold,United Kingdom
202,1900,Paris,Aquatics,Water polo,Arthur Robertson,GBR,Men,Water Polo,Gold,United Kingdom
203,1900,Paris,Aquatics,Water polo,Eric Robinson,GBR,Men,Water Polo,Gold,United Kingdom
204,1900,Paris,Aquatics,Water polo,George Wilkinson,GBR,Men,Water Polo,Gold,United Kingdom
205,1900,Paris,Aquatics,Water polo,Henri Cohen,BEL,Men,Water Polo,Silver,Belgium
